owner_category,owner_name,parcels,total_lot_acres,avg_lot_sqft,total_assessed_value,cities
4 School / Public Ed,UNION H S D FREMONT,5,96.9,1134190,0,"CUPERTINO, SAN JOSE"
4 School / Public Ed,VIEW S D MT,3,19.8,286920,0,MOUNTAIN VIEW
4 School / Public Ed,ELEMENTARY S D EVERGREEN,3,17.4,251983,0,SAN JOSE
4 School / Public Ed,MORGAN HILL UNIFIED S D,3,16.0,394812,0,SAN JOSE
4 School / Public Ed,EVERGREEN SCHOOL DISTRICT,3,3.6,52853,0,SAN JOSE
4 School / Public Ed,S D CAMBRIAN,3,26.3,381295,0,SAN JOSE
4 School / Public Ed,PALO ALTO UNIFIED SCHOOL DIST,2,6.7,145740,0,PALO ALTO
4 School / Public Ed,ORCHARD SCHOOL DIST,2,14.2,308208,0,SAN JOSE
4 School / Public Ed,PALO ALTO UNIFIED SCHOOL DISTR,2,3.4,74350,0,PALO ALTO
4 School / Public Ed,SAN JOSE COMMUNITY COLLEGE,2,19.7,428194,0,SAN JOSE
4 School / Public Ed,SAN JOSE EVERGREEN CMNTY COLLEGE DI,2,118.5,2580494,0,SAN JOSE
4 School / Public Ed,SAN JOSE STATE UNIVERSITY FOUN,2,2.3,49673,2755205,SAN JOSE
4 School / Public Ed,SAN JOSE UNIFIED SCHOOL DISTRI,2,4.1,88216,0,SAN JOSE
4 School / Public Ed,UNIFIED S D SAN JOSE,2,9.5,206692,0,SAN JOSE
4 School / Public Ed,UNION SCHOOL DISTRICT,2,5.7,123100,0,SAN JOSE
4 School / Public Ed,WEST VALLEY MISSION CMNTY COLLEGE D,2,26.7,582180,0,SANTA CLARA
4 School / Public Ed,SAN JOSE EVERGREEN COMN COLLEGE DIST,1,6.1,263538,0,SAN JOSE
4 School / Public Ed,CAMPBELL UNION SCHOOL DISTRICT,1,0.6,24720,0,SAN JOSE
4 School / Public Ed,SAN JOSE UNIFIED SCH DISTRICT,1,0.4,19544,0,SAN JOSE
4 School / Public Ed,SAN JOSE UNIFIED SCHOOL DIST,1,0.2,9453,0,SAN JOSE
